sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_clip,Int8,rotated,3,640,0.855,0.8655,1.0
100k,emb_clip,Int8,rotated,3,768,0.925,0.909,1.0
100k,emb_clip,Int8,rotated,4,128,0.525,0.53,0.93
100k,emb_clip,Int8,rotated,4,256,0.655,0.709,1.0
100k,emb_clip,Int8,rotated,4,384,0.73,0.7935,1.0
100k,emb_clip,Int8,rotated,4,512,0.82,0.845,1.0
100k,emb_clip,Int8,rotated,4,640,0.895,0.8975,1.0
100k,emb_clip,Int8,rotated,4,768,0.945,0.9425,1.0
100k,emb_clip,Int8,rotated,5,128,0.525,0.549,0.92
100k,emb_clip,Int8,rotated,5,256,0.685,0.7185,1.0
100k,emb_clip,Int8,rotated,5,384,0.785,0.8005,1.0
100k,emb_clip,Int8,rotated,5,512,0.845,0.8585,1.0
100k,emb_clip,Int8,rotated,5,640,0.89,0.8995,1.0
100k,emb_clip,Int8,rotated,5,768,0.97,0.9655,1.0
100k,emb_clip,Int8,rotated,6,128,0.515,0.551,0.92
100k,emb_clip,Int8,rotated,6,256,0.685,0.726,1.0
100k,emb_clip,Int8,rotated,6,384,0.78,0.806,1.0
100k,emb_clip,Int8,rotated,6,512,0.85,0.8635,1.0
100k,emb_clip,Int8,rotated,6,640,0.91,0.9085,1.0
100k,emb_clip,Int8,rotated,6,768,0.98,0.981,1.0
100k,emb_clip,Int8,rotated,7,128,0.525,0.55,0.915
100k,emb_clip,Int8,rotated,7,256,0.69,0.724,1.0
100k,emb_clip,Int8,rotated,7,384,0.79,0.807,1.0
100k,emb_clip,Int8,rotated,7,512,0.85,0.8625,1.0
100k,emb_clip,Int8,rotated,7,640,0.91,0.91,1.0
100k,emb_clip,Int8,rotated,7,768,0.99,0.989,1.0
100k,emb_clip,Int8,rotated,8,128,0.54,0.551,0.915
100k,emb_clip,Int8,rotated,8,256,0.685,0.724,1.0
100k,emb_clip,Int8,rotated,8,384,0.77,0.8085,1.0
100k,emb_clip,Int8,rotated,8,512,0.845,0.863,1.0
100k,emb_clip,Int8,rotated,8,640,0.915,0.911,1.0
100k,emb_clip,Int8,rotated,8,768,0.99,0.996,1.0
100k,emb_nomic,BFloat16,original,1,128,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,1,256,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,1,384,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,1,512,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,1,640,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,1,768,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,128,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,256,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,384,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,512,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,640,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,2,768,0.0,0.0005,0.005
100k,emb_nomic,BFloat16,original,3,128,0.16,0.149,0.42
100k,emb_nomic,BFloat16,original,3,256,0.36,0.2875,0.71
100k,emb_nomic,BFloat16,original,3,384,0.42,0.3525,0.79
100k,emb_nomic,BFloat16,original,3,512,0.505,0.4195,0.86
100k,emb_nomic,BFloat16,original,3,640,0.59,0.459,0.905
100k,emb_nomic,BFloat16,original,3,768,0.61,0.4815,0.92
100k,emb_nomic,BFloat16,original,4,128,0.16,0.149,0.42
100k,emb_nomic,BFloat16,original,4,256,0.36,0.2875,0.71
100k,emb_nomic,BFloat16,original,4,384,0.42,0.3525,0.79
100k,emb_nomic,BFloat16,original,4,512,0.505,0.4195,0.86
100k,emb_nomic,BFloat16,original,4,640,0.59,0.459,0.905
100k,emb_nomic,BFloat16,original,4,768,0.61,0.4815,0.92
100k,emb_nomic,BFloat16,original,5,128,0.16,0.1485,0.425
100k,emb_nomic,BFloat16,original,5,256,0.365,0.2875,0.71
100k,emb_nomic,BFloat16,original,5,384,0.425,0.351,0.79
100k,emb_nomic,BFloat16,original,5,512,0.505,0.4205,0.86
100k,emb_nomic,BFloat16,original,5,640,0.59,0.459,0.905
100k,emb_nomic,BFloat16,original,5,768,0.61,0.482,0.92
100k,emb_nomic,BFloat16,original,6,128,0.305,0.2655,0.67
100k,emb_nomic,BFloat16,original,6,256,0.495,0.433,0.865
100k,emb_nomic,BFloat16,original,6,384,0.55,0.51,0.945
100k,emb_nomic,BFloat16,original,6,512,0.625,0.576,0.955
